datetime,index,site,location,wl_below_surface_m,temperature,salinity,p_h,do_mgl,p_h_orp,peak,d_time,d_do,do_rate,max_do,mean_depth,mean_temp,mean_salinity,mean_ph,hours
2022-04-21T15:15:00Z,155,OWC,TR,-0.02269128091652089,7.11,0.27,7.52,5.17,255.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,38.5
2022-04-21T15:30:00Z,156,OWC,TR,-0.02480050272009298,7.11,0.27,7.52,5.16,257.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,38.75
2022-04-21T15:45:00Z,157,OWC,TR,-0.02620665058914101,7.11,0.27,7.52,5.15,258.9,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,39
2022-04-21T16:00:00Z,158,OWC,TR,-0.025503576654617,7.11,0.27,7.52,5.14,251.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,39.25
2022-04-21T16:15:00Z,159,OWC,TR,-0.02620665058914101,7.11,0.27,7.52,5.13,255,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,39.5
2022-04-21T16:30:00Z,160,OWC,TR,-0.027612798458189092,7.11,0.27,7.52,5.13,257.2,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,39.75
2022-04-21T16:45:00Z,161,OWC,TR,-0.0283158723927131,7.11,0.27,7.52,5.12,258.8,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,40
2022-04-21T17:00:00Z,162,OWC,TR,-0.03042509419628519,7.11,0.27,7.52,5.07,248.8,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,40.25
2022-04-21T17:15:00Z,163,OWC,TR,-0.027612798458189092,7.11,0.27,7.52,5.06,253.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,40.5
2022-04-21T17:30:00Z,164,OWC,TR,-0.02972202026176118,7.11,0.27,7.51,5.06,256,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,40.75
2022-04-21T17:45:00Z,165,OWC,TR,-0.02972202026176118,7.12,0.27,7.51,5.05,257.9,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,41
2022-04-21T18:00:00Z,166,OWC,TR,-0.02972202026176118,7.12,0.27,7.51,5.01,250.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,41.25
2022-04-21T18:15:00Z,167,OWC,TR,-0.02972202026176118,7.12,0.27,7.51,5,254.2,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,41.5
2022-04-21T18:30:00Z,168,OWC,TR,-0.03042509419628519,7.12,0.27,7.51,4.98,256.8,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,41.75
2022-04-21T18:45:00Z,169,OWC,TR,-0.02972202026176118,7.12,0.27,7.51,4.98,258.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,42
2022-04-21T19:00:00Z,170,OWC,TR,-0.03042509419628519,7.12,0.27,7.51,4.94,251.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,42.25
2022-04-21T19:15:00Z,171,OWC,TR,-0.0283158723927131,7.12,0.27,7.51,4.93,255.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,42.5
2022-04-21T19:30:00Z,172,OWC,TR,-0.02972202026176118,7.12,0.27,7.51,4.92,257.4,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,42.75
2022-04-21T19:45:00Z,173,OWC,TR,-0.02901894632723711,7.12,0.27,7.51,4.92,259.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,43
2022-04-21T20:00:00Z,174,OWC,TR,-0.02901894632723711,7.12,0.27,7.51,4.85,251.4,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,43.25
2022-04-21T20:15:00Z,175,OWC,TR,-0.02901894632723711,7.12,0.27,7.5,4.85,255.4,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,43.5
2022-04-21T20:30:00Z,176,OWC,TR,-0.02972202026176118,7.13,0.27,7.5,4.84,257.8,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,43.75
2022-04-21T20:45:00Z,177,OWC,TR,-0.03112816813080921,7.13,0.27,7.5,4.83,259.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,44
2022-04-21T21:00:00Z,178,OWC,TR,-0.03042509419628519,7.12,0.27,7.5,4.8,248.4,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,44.25
2022-04-21T21:15:00Z,179,OWC,TR,-0.02972202026176118,7.13,0.27,7.5,4.79,253.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,44.5
2022-04-21T21:30:00Z,180,OWC,TR,-0.02972202026176118,7.13,0.27,7.5,4.78,256,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,44.75
2022-04-21T21:45:00Z,181,OWC,TR,-0.02901894632723711,7.13,0.27,7.5,4.78,257.9,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,45
2022-04-21T22:00:00Z,182,OWC,TR,-0.02972202026176118,7.13,0.27,7.5,4.69,250.2,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,45.25
