,Cation Summary Report,,,,,,
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Lithium,Lithium,Lithium,Lithium,Lithium
1,DI Water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
67,MQ Blank 2,8.093  ,0.0009  ,5.84,0.00  ,17.58,0.0194  
68,43,8.097  ,0.2928  ,1.48,1.34  ,4.30,0.4268  
69,44,8.093  ,0.2832  ,1.46,1.30  ,4.28,0.4133  
70,45,8.093  ,0.2804  ,1.52,1.30  ,4.39,0.4095  
71,46,8.073  ,0.1697  ,1.36,0.79  ,3.93,0.2550  
72,47,8.093  ,0.1932  ,1.41,0.90  ,4.17,0.2877  
73,48,8.083  ,0.4667  ,33.38,2.09  ,53.84,0.6695  
74,49,8.077  ,0.3916  ,28.26,1.75  ,48.38,0.5647  
75,50,8.087  ,0.4426  ,34.35,1.97  ,55.11,0.6359  
76,51,8.073  ,0.4131  ,31.45,1.86  ,52.02,0.5947  
77,52,8.093  ,0.4291  ,33.13,1.92  ,53.78,0.6170  
78,53,8.100  ,1.0585  ,4.77,4.74  ,14.00,1.4955  
79,54,8.097  ,1.0597  ,5.38,4.76  ,15.60,1.4973  
80,55,8.097  ,0.8653  ,4.15,3.89  ,12.19,1.2259  
81,56,8.100  ,1.0065  ,5.46,4.53  ,15.60,1.4229  
82,57,8.093  ,0.5487  ,3.92,2.49  ,11.92,0.7840  
83,58,8.080  ,2.0128  ,6.69,8.92  ,22.37,2.8276  
84,59,8.090  ,1.9452  ,6.51,8.63  ,21.92,2.7333  
85,60,8.090  ,1.6442  ,6.24,7.31  ,21.10,2.3130  
86,61,8.093  ,1.9555  ,6.79,8.67  ,22.60,2.7476  
87,62,8.093  ,1.9044  ,7.04,8.50  ,23.19,2.6762  
88,63,8.100  ,0.0128  ,24.88,0.06  ,54.54,0.0359  
89,C-200x,8.100  ,0.7402  ,9.72,3.31  ,18.23,1.0513  
90,MQ Blank 3,8.083  ,0.0007  ,4.11,0.00  ,11.47,0.0190  
91,64,8.097  ,0.2939  ,1.09,1.36  ,3.36,0.4283  
92,65,8.093  ,0.3012  ,1.15,1.40  ,3.52,0.4385  
93,66,8.100  ,0.2901  ,1.18,1.34  ,3.55,0.4230  
94,67,8.097  ,0.2778  ,1.00,1.29  ,3.12,0.4058  
95,68,8.097  ,0.2767  ,1.08,1.28  ,3.33,0.4043  
96,69,8.103  ,0.4245  ,19.41,1.94  ,39.15,0.6106  
97,70,8.097  ,0.4467  ,20.06,2.00  ,40.35,0.6416  
98,71,8.090  ,0.4275  ,18.88,1.95  ,38.20,0.6149  
99,72,8.097  ,0.4103  ,20.19,1.87  ,40.03,0.5907  
100,73,8.097  ,0.4278  ,20.61,1.95  ,40.77,0.6152  
101,74,8.100  ,0.9394  ,2.50,4.22  ,8.37,1.3293  
102,75,8.090  ,1.1697  ,2.26,5.26  ,7.89,1.6508  
103,76,8.093  ,1.0382  ,3.37,4.61  ,10.18,1.4672  
104,77,8.103  ,0.7800  ,2.45,3.50  ,7.46,1.1068  
105,78,8.093  ,1.0659  ,3.12,4.72  ,9.78,1.5059  
106,79,8.090  ,1.9440  ,7.26,8.67  ,23.86,2.7315  
107,80,8.093  ,1.9025  ,6.32,8.49  ,21.10,2.6736  
108,81,8.090  ,2.0761  ,6.15,9.25  ,21.19,2.9159  
109,82,8.093  ,1.9186  ,7.02,8.56  ,22.91,2.6961  
110,83,8.090  ,1.5965  ,6.59,7.13  ,21.73,2.2465  
111,84,8.090  ,0.0036  ,7.77,0.02  ,24.38,0.0231  
112,C-800x,8.090  ,0.1530  ,9.34,0.72  ,17.14,0.2317  
113,MQ Blank 4,8.093  ,0.0004  ,2.89,0.00  ,8.05,0.0186  
114,SB 1,8.103  ,0.0444  ,49.30,0.21  ,70.61,0.0800  
115,SB 2,8.090  ,0.0003  ,2.77,0.00  ,10.43,0.0185  
116,SB 3,8.077  ,0.0063  ,46.33,0.03  ,76.93,0.0268  
117,SB 4,8.093  ,0.0013  ,15.19,0.01  ,37.82,0.0199  
118,IV 10x Cation Std,8.093  ,6.9223  ,11.58,29.86  ,16.34,9.6803  
,Sum:,954.890  ,193.561  ,1345.022  ,849.679  ,2727.665  ,272.309  
,Average:,8.092  ,1.640  ,11.398  ,7.201  ,23.116  ,2.308  
,Rel.Std.Dev:,0.089 %,244.930 %,103.809 %,240.293 %,77.041 %,243.010 %
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Ammonia,Ammonia,Ammonia,Ammonia,Ammonia,Ammonia
1,DI Water,9.917  ,0.0034  ,31.59,0.01  ,50.83,n.a.
2,!00x Cation Std,9.957  ,1.4261  ,10.35,4.07  ,12.60,3.4645  
3,DI water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,1600x,9.930  ,0.1154  ,15.45,0.45  ,22.16,n.a.
5,800x,9.943  ,0.2313  ,14.61,0.84  ,20.33,0.0676  
6,400x,9.947  ,0.4461  ,13.49,1.48  ,18.01,0.6783  
7,200x,9.953  ,0.8820  ,11.73,2.68  ,14.95,1.9178  
8,20x,9.943  ,4.5838  ,6.64,10.90  ,7.25,12.4419  
9,5x,9.857  ,10.7706  ,4.19,22.54  ,4.69,30.0308  
10,!00x Cation Std,9.960  ,1.4060  ,10.25,4.05  ,12.53,3.4072  
11,DI water,9.910  ,0.0029  ,24.61,0.01  ,40.84,n.a.
12,!00x Cation Std,9.937  ,1.4254  ,10.36,4.08  ,12.62,3.4625  
13,!00x Cation Std,9.913  ,6.9970  ,5.35,15.70  ,5.84,19.3025  
14,062,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,055,9.943  ,0.0103  ,0.03,0.01  ,0.02,n.a.
16,043,9.920  ,0.0004  ,0.00,0.00  ,0.01,n.a.
17,100x Cation Std,9.953  ,1.4284  ,10.36,4.09  ,12.61,3.4710  
18,10x Cation Std,9.923  ,7.0005  ,5.35,15.70  ,5.83,19.3126  
19,IV 10x Cation Std,9.937  ,3.8519  ,6.47,9.40  ,5.13,10.3612  
20,IV 10x Cation Std,9.940  ,3.8593  ,6.47,9.41  ,5.12,10.3822  
21,1,9.910  ,0.0003  ,0.00,0.00  ,0.00,n.a.
22,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,4,9.917  ,0.0016  ,0.01,0.00  ,0.02,n.a.
25,5,9.920  ,0.0036  ,0.03,0.01  ,0.05,n.a.
26,6,9.927  ,0.0614  ,5.56,0.25  ,8.01,n.a.
27,7,9.920  ,0.0483  ,4.20,0.20  ,6.22,n.a.
28,8,9.927  ,0.0534  ,4.67,0.19  ,5.57,n.a.
29,9,9.927  ,0.0542  ,4.52,0.19  ,5.37,n.a.
30,10,9.933  ,0.0542  ,4.66,0.22  ,6.36,n.a.
