,Anion Summary Report,,,,,,,
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,µS*min,%,µS,%,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride
2,10 ppm Anion  Std,1.0000,3.817  ,3.7954  ,21.64,41.90  ,26.59,10.3709  
3,DI water,1.0000,3.800  ,0.0007  ,1.88,0.01  ,3.40,n.a.
4,1600x,1.0000,3.817  ,0.0252  ,13.76,0.28  ,19.56,n.a.
5,800x,1.0000,3.813  ,0.0433  ,16.44,0.49  ,22.47,n.a.
6,400x,1.0000,3.820  ,0.0867  ,19.41,0.99  ,25.42,0.1139  
7,200x,1.0000,3.813  ,0.1873  ,20.79,2.12  ,27.60,0.3920  
8,20x,1.0000,3.820  ,1.8748  ,21.91,20.82  ,28.04,5.0591  
9,5x,1.0000,3.820  ,7.2725  ,22.41,79.63  ,29.81,19.9873  
10,10 ppm Anion  Std,1.0000,3.823  ,3.7965  ,21.63,41.92  ,26.56,10.3740  
11,062,1.0000,3.817  ,0.6929  ,4.23,7.72  ,5.69,1.7904  
12,055,1.0000,3.820  ,1.0297  ,8.60,11.39  ,14.22,2.7220  
13,043,1.0000,3.820  ,0.0882  ,1.57,1.01  ,2.65,0.1180  
14,10 ppm Anion  Std,1.0000,3.817  ,3.6890  ,21.71,40.73  ,26.69,10.0766  
15,10 ppm Anion  Std,1.0000,3.817  ,3.6871  ,21.70,40.69  ,26.65,10.0713  
16,1,1.0000,3.817  ,0.1490  ,1.55,1.70  ,2.72,0.2861  
17,2,1.0000,3.813  ,0.1492  ,1.60,1.70  ,2.80,0.2866  
18,3,1.0000,3.817  ,0.1389  ,1.53,1.59  ,2.69,0.2583  
19,4,1.0000,3.800  ,0.1559  ,1.60,1.77  ,2.80,0.3053  
20,5,1.0000,3.820  ,0.1494  ,1.54,1.70  ,2.71,0.2874  
21,6,1.0000,3.817  ,0.1081  ,13.16,1.24  ,17.19,0.1730  
22,7,1.0000,3.817  ,0.0959  ,11.87,1.10  ,15.73,0.1393  
23,8,1.0000,3.810  ,0.0970  ,12.14,1.11  ,16.09,0.1423  
24,9,1.0000,3.810  ,0.1056  ,12.39,1.21  ,16.37,0.1662  
25,10,1.0000,3.810  ,0.1085  ,12.99,1.24  ,17.15,0.1741  
26,11,1.0000,3.817  ,0.3328  ,5.67,3.74  ,9.00,0.7944  
27,12,1.0000,3.813  ,0.3525  ,6.57,3.97  ,10.28,0.8490  
28,13,1.0000,3.810  ,0.3307  ,7.08,3.72  ,11.02,0.7887  
29,14,1.0000,3.810  ,0.3571  ,7.66,4.01  ,11.98,0.8616  
30,15,1.0000,3.810  ,0.3779  ,8.23,4.24  ,12.70,0.9192  
31,16,1.0000,3.823  ,0.7108  ,4.75,7.94  ,6.32,1.8398  
32,17,1.0000,3.820  ,0.7056  ,4.43,7.89  ,5.93,1.8256  
33,18,1.0000,3.817  ,0.6616  ,4.71,7.41  ,6.26,1.7038  
34,19,1.0000,3.820  ,0.6261  ,4.87,6.99  ,6.43,1.6056  
35,20,1.0000,3.813  ,0.6622  ,4.97,7.40  ,6.57,1.7056  
36,21,1.0000,3.817  ,0.0063  ,6.66,0.07  ,11.79,n.a.
37,A-5x,1.0000,3.823  ,7.2798  ,22.47,79.66  ,29.90,20.0073  
38,MQ Blank 1,1.0000,3.810  ,0.0032  ,3.56,0.02  ,4.32,n.a.
39,22,1.0000,3.820  ,0.1601  ,1.53,1.84  ,2.74,0.3168  
40,23,1.0000,3.810  ,0.1584  ,1.49,1.80  ,2.66,0.3121  
41,24,1.0000,3.813  ,0.1624  ,1.52,1.84  ,2.71,0.3233  
42,25,1.0000,3.810  ,0.1621  ,1.54,1.84  ,2.74,0.3225  
43,26,1.0000,3.810  ,0.1595  ,1.53,1.81  ,2.72,0.3154  
44,27,1.0000,3.810  ,0.0989  ,11.92,1.13  ,15.68,0.1477  
45,28,1.0000,3.823  ,0.1009  ,12.08,1.15  ,15.93,0.1532  
46,29,1.0000,3.810  ,0.0989  ,11.79,1.13  ,15.66,0.1477  
47,30,1.0000,3.813  ,0.1029  ,11.47,1.18  ,15.12,0.1586  
48,31,1.0000,3.813  ,0.0989  ,11.51,1.13  ,15.16,0.1478  
